Anzahl Raiden Clients, durchschnittliche Zeit des Sendens der Nachricht

10,1.5050999999999999 Sekunden
10,1.6360999999999999 Sekunden
10,1.3725999999999998 Sekunden
10,2.0884 Sekunden
20,3.50415 Sekunden
20,2.91515 Sekunden
20,4.18065 Sekunden
20,2.3552 Sekunden
30,7.991833333333333 Sekunden
19,3.3823684210526315 Sekunden
30,4.028733333333333 Sekunden
30,7.151333333333333 Sekunden
10,0.8652000000000001 Sekunden
10,1.0584 Sekunden
10,1.2519 Sekunden
5,1.434 Sekunden
10,1.9707999999999999 Sekunden
10,2.0177 Sekunden
10,2.0747 Sekunden
10,2.7239 Sekunden
20,3.35865 Sekunden
20,3.9595 Sekunden
15,5.833066666666666 Sekunden
15,4.3762 Sekunden
25,8.23176 Sekunden
25,9.867360000000001 Sekunden
25,8.08676 Sekunden
25,8.021840000000001 Sekunden
22,11.676045454545454 Sekunden
0,NaN Sekunden
10,11.1454 Sekunden
11,10.430545454545454 Sekunden
12,16.851 Sekunden
26,14.981961538461539 Sekunden
40,13.845 Sekunden
40,9.8072 Sekunden
26,12.44453846153846 Sekunden
15,13.284866666666666 Sekunden
21,15.92947619047619 Sekunden
15,6.135333333333333 Sekunden
15,5.8822 Sekunden
20,7.1198999999999995 Sekunden
20,5.83045 Sekunden
20,6.9092 Sekunden
19,10.106315789473685 Sekunden
15,9.499466666666667 Sekunden
15,15.534333333333334 Sekunden
15,9.3666 Sekunden
15,5.205466666666666 Sekunden
0,NaN Sekunden
0,NaN Sekunden
0,NaN Sekunden
0,NaN Sekunden
10,1.5201 Sekunden
35,8.192171428571427 Sekunden
50,14.39832 Sekunden
10,4.289899999999999 Sekunden
10,1.5955 Sekunden
20,2.24395 Sekunden
30,6.671233333333333 Sekunden
40,10.609075 Sekunden
50,16.34412 Sekunden
